"","Y","date"
"1",51.5138812084667,2001-01-01
"2",88.2602523644621,2001-04-01
"3",64.9261753418452,2001-07-01
"4",39.6397194232593,2001-10-01
"5",64.5067387254929,2002-01-01
"6",51.1334684110241,2002-04-01
"7",93.0038991786304,2002-07-01
"8",91.8476670306824,2002-10-01
"9",75.7780122202364,2003-01-01
"10",85.9861028599832,2003-04-01
"11",35.7466497069188,2003-07-01
"12",41.6193393926302,2003-10-01
"13",27.964533209906,2004-01-01
"14",33.9548618322375,2004-04-01
"15",32.4649821761751,2004-07-01
"16",43.8119929563527,2004-10-01
"17",43.8089915305346,2005-01-01
"18",46.2235814059149,2005-04-01
"19",43.8618622371475,2005-07-01
"20",38.9354324100281,2005-10-01
"21",50.5804573861067,2006-01-01
"22",50.1436862398096,2006-04-01
"23",63.3435339927698,2006-07-01
"24",75.9919853273426,2006-10-01
"25",76.8546683176265,2007-01-01
"26",73.2023226942399,2007-04-01
"27",104.031584696217,2007-07-01
"28",94.9242051308218,2007-10-01
"29",93.0927295351488,2008-01-01
"30",75.2772238454564,2008-04-01
"31",77.7924896262841,2008-07-01
"32",103.065315922378,2008-10-01
"33",100.619453818721,2009-01-01
"34",217.341002673856,2009-04-01
"35",246.806559118227,2009-07-01
"36",178.608599233602,2009-10-01
"37",100.15339039658,2010-01-01
"38",84.611292009726,2010-04-01
"39",46.995639273012,2010-07-01
"40",42.2736074099281,2010-10-01
"41",35.949981653664,2011-01-01
"42",39.0659242527463,2011-04-01
"43",106.858069846904,2011-07-01
"44",88.8737314022869,2011-10-01
"45",125.553990128697,2012-01-01
"46",125.566633151039,2012-04-01
"47",95.0524389674457,2012-07-01
"48",80.5735991167646,2012-10-01
"49",93.793417886591,2013-01-01
"50",63.6375487927337,2013-04-01
"51",68.3173712912011,2013-07-01
"52",58.7720080104211,2013-10-01
"53",44.8478126260675,2014-01-01
"54",48.8968065307515,2014-04-01
"55",59.1738315102729,2014-07-01
"56",59.4721047935163,2014-10-01
"57",82.4733835928857,2015-01-01
"58",87.4989932544011,2015-04-01
"59",101.846583704707,2015-07-01
"60",130.657780954231,2015-10-01
"61",68.6708215185402,2016-01-01
"62",41.7881560527217,2016-04-01
"63",85.5697133832065,2016-07-01
"64",179.355785105273,2016-10-01
"65",141.396378761544,2017-01-01
"66",115.644037759393,2017-04-01
"67",129.53066721902,2017-07-01
"68",69.4431857566384,2017-10-01
"69",29.0895390175483,2018-01-01
"70",65.3373717906364,2018-04-01
"71",125.929246206638,2018-07-01
"72",128.936934164245,2018-10-01
"73",128.342497537364,2019-01-01
"74",125.551686465512,2019-04-01
"75",54.8307771605858,2019-07-01
"76",86.0980267444778,2019-10-01
"77",93.2606860993171,2020-01-01
"78",103.272040589659,2020-04-01
"79",132.124635139032,2020-07-01
"80",130.182914394085,2020-10-01
"81",146.615469336831,2021-01-01
"82",52.7103442526387,2021-04-01
"83",52.6870375448588,2021-07-01
"84",3.74282127768355,2021-10-01
"85",135.193866713712,2022-01-01
